TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,"Treat your data transformation choices as hyperparameters, especially when you are not sure about them (e.g., if you’re not sure whether to replace missing values with zeros or with the median value, or to just drop the rows).",4,2,,,,en,America/Montreal
,,,,,,,,
task,"Unless there are very few hyperparameter values to explore, prefer random search over grid search. If training is very long, you may prefer a Bayesian optimization approach",4,2,,,,en,America/Montreal
,,,,,,,,
task,Try Ensemble methods. Combining your best models will often produce better performance than running them individually.,4,1,,,,en,America/Montreal
,,,,,,,,
task,"Once you are confident about your final model, measure its performance on the test set to estimate the generalization error.",4,1,,,,en,America/Montreal
,,,,,,,,
task,Warning!!! Don’t tweak your model after measuring the generalization error: you would just start overfitting the test set.,4,1,,,,en,America/Montreal
,,,,,,,,
section,🎁 Present your solution:,,,,,,,
task,Document what you have done,4,1,,,,en,America/Montreal
,,,,,,,,
task,Create a nice presentation. Highlight big picture first.,4,1,,,,en,America/Montreal
,,,,,,,,
task,Explain why your solution achieves the business bojective,4,1,,,,en,America/Montreal
,,,,,,,,
task,Don't forget to present interesting points you noticed along the way,4,1,,,,en,America/Montreal
,,,,,,,,
task,Describe what worked and what did not,4,2,,,,en,America/Montreal
,,,,,,,,
task,List your assumptions and your system's limitations,4,2,,,,en,America/Montreal
,,,,,,,,
task,"Ensure your key findings are communicated through beautiful visualizations or easy-to-remember statements (""The median income is the number-one predictor of housing prices"")",4,1,,,,en,America/Montreal
,,,,,,,,
section,"🚢 Launch, monitor, and maintain system:",,,,,,,
task,"Get your solution ready for productions (plug into production data, inputs, write unit tests, etc.)",4,1,,,,en,America/Montreal
,,,,,,,,
task,Write monitoring code to check your system's live performance at regular intervals and trigger alerts when it drops.,4,1,,,,en,America/Montreal
,,,,,,,,
task,"Beware of slow degradation: models tend to ""rot"" as data evolves.",4,2,,,,en,America/Montreal
,,,,,,,,
task,Measuring performance may require a human pipeline (via a crowdsourcing service),4,2,,,,en,America/Montreal
,,,,,,,,
task,"Also monitor you inputs' quality (a malfunctioning sensor sending a random values, or another teams's output becoming stale). This is particularly importan for online learning systems",4,2,,,,en,America/Montreal
,,,,,,,,
task,Retrain you models on regular basis on fresh data (automate as much as possible),4,1,,,,en,America/Montreal
,,,,,,,,
